Customer_ID,Contract_Type,Log_ID,Complaint_Text,Call_Duration_Min,AI_Sentiment,Churn_Risk_Flag
66,Mobile S,134,"The wifi keeps disconnecting, terrible service, I want to cancel!",4,Negative,0
66,Mobile S,135,"Mobile internet is slow in the city center, what can you do?",15,Negative,1
67,Mobile S,136,"The internet is super fast, I am very satisfied!",12,Positive,0
68,Mobile S,137,"Mobile internet is slow in the city center, what can you do?",19,Negative,1
69,TV + Net Combo,138,"The internet is super fast, I am very satisfied!",16,Positive,0
70,Mobile S,139,"Everything is fine, I just want to change my package.",16,Positive,0
71,Mobile S,140,"The agent was very kind, thank you for the quick help.",19,Positive,0
72,TV + Net Combo,141,"The agent was very kind, thank you for the quick help.",17,Positive,0
72,TV + Net Combo,142,"Mobile internet is slow in the city center, what can you do?",10,Negative,0
72,TV + Net Combo,143,It's outrageous that there has been no TV broadcast for days!,11,Negative,1
73,TV + Net Combo,144,"The wifi keeps disconnecting, terrible service, I want to cancel!",11,Negative,1
74,Mobile S,145,"The wifi keeps disconnecting, terrible service, I want to cancel!",20,Negative,1
74,Mobile S,146,It's outrageous that there has been no TV broadcast for days!,2,Negative,0
75,GigaNet Pro,147,"The agent was very kind, thank you for the quick help.",6,Positive,0
75,GigaNet Pro,148,"The wifi keeps disconnecting, terrible service, I want to cancel!",15,Negative,1
76,Mobile S,149,"Everything is fine, I just want to change my package.",15,Positive,0
76,Mobile S,150,"The wifi keeps disconnecting, terrible service, I want to cancel!",13,Negative,1
77,TV + Net Combo,151,"The internet is super fast, I am very satisfied!",6,Positive,0
77,TV + Net Combo,152,It's outrageous that there has been no TV broadcast for days!,10,Negative,0
78,TV + Net Combo,153,"I have a question about my latest bill, I don't understand the amount.",18,Positive,0
78,TV + Net Combo,154,It's outrageous that there has been no TV broadcast for days!,6,Negative,0
79,Mobile S,155,"The agent was very kind, thank you for the quick help.",24,Positive,0
79,Mobile S,156,"The internet is super fast, I am very satisfied!",19,Positive,0
80,TV + Net Combo,157,"The wifi keeps disconnecting, terrible service, I want to cancel!",7,Negative,0
80,TV + Net Combo,158,"I have a question about my latest bill, I don't understand the amount.",13,Positive,0
81,GigaNet Pro,159,"Mobile internet is slow in the city center, what can you do?",25,Negative,1
81,GigaNet Pro,160,"The internet is super fast, I am very satisfied!",19,Positive,0
81,GigaNet Pro,161,"The internet is super fast, I am very satisfied!",11,Positive,0
82,TV + Net Combo,162,"Mobile internet is slow in the city center, what can you do?",15,Negative,1
82,TV + Net Combo,163,"Everything is fine, I just want to change my package.",20,Positive,0
83,TV + Net Combo,164,"The internet is super fast, I am very satisfied!",19,Positive,0
83,TV + Net Combo,165,It's outrageous that there has been no TV broadcast for days!,18,Negative,1
84,Mobile S,166,"I have a question about my latest bill, I don't understand the amount.",19,Positive,0
84,Mobile S,167,"I have a question about my latest bill, I don't understand the amount.",17,Positive,0
84,Mobile S,168,"The internet is super fast, I am very satisfied!",17,Positive,0
85,Mobile S,169,"I have a question about my latest bill, I don't understand the amount.",5,Positive,0
86,Mobile S,170,"I have a question about my latest bill, I don't understand the amount.",10,Positive,0
86,Mobile S,171,"The agent was very kind, thank you for the quick help.",8,Positive,0
86,Mobile S,172,"I have a question about my latest bill, I don't understand the amount.",8,Positive,0
87,Mobile S,173,"The internet is super fast, I am very satisfied!",11,Positive,0
87,Mobile S,174,"The internet is super fast, I am very satisfied!",12,Positive,0
87,Mobile S,175,"The internet is super fast, I am very satisfied!",11,Positive,0
88,GigaNet Pro,176,"Mobile internet is slow in the city center, what can you do?",7,Negative,0
88,GigaNet Pro,177,"Everything is fine, I just want to change my package.",2,Positive,0
88,GigaNet Pro,178,"Everything is fine, I just want to change my package.",15,Positive,0
89,TV + Net Combo,179,"I have a question about my latest bill, I don't understand the amount.",17,Positive,0
89,TV + Net Combo,180,"Mobile internet is slow in the city center, what can you do?",22,Negative,1
90,Mobile XL,181,"The internet is super fast, I am very satisfied!",19,Positive,0
91,TV + Net Combo,182,"The internet is super fast, I am very satisfied!",16,Positive,0
91,TV + Net Combo,183,"The internet is super fast, I am very satisfied!",22,Positive,0
91,TV + Net Combo,184,"Everything is fine, I just want to change my package.",2,Positive,0
92,Mobile S,185,It's outrageous that there has been no TV broadcast for days!,8,Negative,0
93,Mobile S,186,"I have a question about my latest bill, I don't understand the amount.",13,Positive,0
93,Mobile S,187,"The agent was very kind, thank you for the quick help.",21,Positive,0
93,Mobile S,188,"The wifi keeps disconnecting, terrible service, I want to cancel!",21,Negative,1
94,GigaNet Pro,189,"The agent was very kind, thank you for the quick help.",8,Positive,0
95,Mobile XL,190,It's outrageous that there has been no TV broadcast for days!,9,Negative,0
95,Mobile XL,191,"Everything is fine, I just want to change my package.",20,Positive,0
95,Mobile XL,192,"The internet is super fast, I am very satisfied!",18,Positive,0
96,TV + Net Combo,193,"The internet is super fast, I am very satisfied!",10,Positive,0
97,GigaNet Pro,194,"The wifi keeps disconnecting, terrible service, I want to cancel!",11,Negative,1
97,GigaNet Pro,195,It's outrageous that there has been no TV broadcast for days!,15,Negative,1
97,GigaNet Pro,196,"The internet is super fast, I am very satisfied!",9,Positive,0
98,Mobile XL,197,"Mobile internet is slow in the city center, what can you do?",23,Negative,1
99,GigaNet Pro,198,"Everything is fine, I just want to change my package.",11,Positive,0
99,GigaNet Pro,199,"The wifi keeps disconnecting, terrible service, I want to cancel!",5,Negative,0
99,GigaNet Pro,200,"Everything is fine, I just want to change my package.",10,Positive,0
100,Mobile XL,201,"Mobile internet is slow in the city center, what can you do?",14,Negative,1
100,Mobile XL,202,"Everything is fine, I just want to change my package.",8,Positive,0
100,Mobile XL,203,"Mobile internet is slow in the city center, what can you do?",21,Negative,1
